Distant;Comment1;Name_Type;Center_Marka;Proj1;Nomenklatura1;SK42_X;SK42_Y;Hn;G98;Proj2;SK42_B;SK42_L;G87;Proj3;SK63_X;SK63_Y;SK63_X2;SK63_Y2;Proj4;SK95_X;SK95_Y;Hg;EGM;Proj5;SK95_L;SK95_B;Proj6;PZ90_X;PZ90_Y;PZ90_Z;Proj7;PZ9002_X;PZ9002_Y;PZ9002_Z;Proj8;WGS84_X;WGS84_Y;WGS84_Z;Proj9;WGS84_B;WGS84_L;Hw;Gwg
21282;N3609312 3;Почепово, сигн. 25.0 м;Центр 1;СК-42;N-36-030-А-б;6126429.67;6483598.89;221.33 ;2.91;BL-42;55°15'39.7804";32°44'31.3280";3.55;CK-63/42;P-45- 74-Б-в;6113529.28;P1266448.02;6116925.62;P2075734.23;СК-95;6126428.30;6483601.47;224.24;None;BL-95;32°44'31.4744";55°15'39.7364";ПЗ-90;3064152.34;1970182.39;5218191.74;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
21934;N3609207 2;Cельцо, сигн. 31.7 м;Центр 1;СК-42;N-36-030-А-б;6125905.56;6477143.86;229.90 ;2.80;BL-42;55°15'21.9087";32°38'25.9879";3.50;CK-63/42;P-45- 74-А-г;6112957.35;P1259997.07;6116631.65;P2069262.16;СК-95;6125904.23;6477146.55;232.70;None;BL-95;32°38'26.1406";55°15'21.8662";ПЗ-90;3068023.80;1964999.70;5217883.74;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
21967;N3609227 2;Пнево, сигн. 9.9 м;Центр 1оп;СК-42;N-36-042-А-г;6084231.57;6477577.24;221.17 ;2.51;BL-42;54°52'54.3829";32°39'02.3177";3.45;CK-63/42;P-44- 74-А-г;6071287.91;P1260738.52;6074952.06;P2068213.87;СК-95;6084230.19;6477579.49;223.68;None;BL-95;32°39'02.4443";54°52'54.3386";ПЗ-90;3096439.46;1983969.32;5194015.09;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
22885;N3609313 3;Буянцево, сигн. 9.6 м;Центр 1;СК-42;N-36-030-А-в;6122384.26;6469193.97;235.75 ;2.63;BL-42;55°13'26.4912";32°30'57.3002";3.44;CK-63/42;P-45- 74-А-в;6109377.28;P1252073.55;6113394.37;P2061188.60;СК-95;6122382.96;6469196.57;238.38;None;BL-95;32°30'57.4478";55°13'26.4497";ПЗ-90;3074766.80;1959899.18;5215853.37;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
23662;N3609209 2;Mалиновка, сигн. 36.2 м;Центр 1;СК-42;N-36-030-Б-г;6124375.97;6498065.29;234.60 ;3.13;BL-42;55°14'34.3388";32°58'10.5020";3.66;CK-63/42;P-45- 74-Б-г;6111582.81;P1280929.32;6114357.14;P2090123.22;СК-95;6124374.76;6498067.84;237.73;None;BL-95;32°58'10.6463";55°14'34.2997";ПЗ-90;3057704.66;1983244.94;5217049.37;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
23967;N3609310 3;Mедведево, сигн. 29.4 м;Центр 1;СК-42;N-36-029-Г-г;6099727.72;6460914.82;242.71 ;2.47;BL-42;55°01'11.7815";32°23'20.1882";3.37;CK-63/42;P-45- 73-Г-г;6086660.46;P1243962.35;6090518.40;P 435825.44;СК-95;6099726.31;6460917.39;245.18;None;BL-95;32°23'20.3335";55°01'11.7366";ПЗ-90;3094846.42;1963067.13;5202866.15;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
24792;N3609208 2;Mотево, сигн. 32.6 м;Центр 1;СК-42;N-36-030-Б-а;6129791.93;6487062.08;223.46 ;3.03;BL-42;55°17'28.8728";32°47'46.8648";3.58;CK-63/42;P-45- 74-Б-а;6116917.12;P1269886.20;6120163.54;P2079316.30;СК-95;6129790.64;6487064.74;226.49;None;BL-95;32°47'47.0157";55°17'28.8314";ПЗ-90;3059953.15;1971585.00;5220115.43;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
24795;N3609217 2;Tресвятье, сигн. 12.7 м;Центр 32оп Марка № 2193;СК-42;N-36-041-Б-б;6088703.21;6465710.69;237.30 ;2.48;BL-42;54°55'16.5609";32°27'54.8398";3.38;CK-63/42;P-44- 73-Б-г;6075671.84;P1248839.42;6079744.30;P 441171.48;СК-95;6088701.80;6465713.02;239.78;None;BL-95;32°27'54.9713";54°55'16.5159";ПЗ-90;3099816.53;1972012.96;5196556.31;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
24876;N3609342 3;Ярошенки, сигн. 24.5 м;Центр 2оп Марка № 3677;СК-42;N-36-042-Б-в;6080556.86;6487955.86;202.00 ;2.63;BL-42;54°50'56.8360";32°48'44.9964";3.50;CK-63/42;P-44- 74-Г-а;6067689.84;P1271143.95;6070910.22;P2078459.59;СК-95;6080555.49;6487958.15;204.63;None;BL-95;32°48'45.1249";54°50'56.7919";ПЗ-90;3093311.41;1994313.46;5191907.55;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
24956;N3610325 3;Kняжино, сигн. 17.0 м;Центр 2оп Марка № 8035;СК-42;N-36-031-В-а;6114909.44;6507231.67;242.10 ;3.17;BL-42;55°09'28.0474";33°06'48.4164";3.70;CK-63/42;P-45- 75-В-б;6102184.27;P1290165.69;6104567.48;P2098949.49;СК-95;6114908.39;6507234.20;245.27;None;BL-95;33°06'48.5592";55°09'28.0133";ПЗ-90;3059233.41;1995167.77;5211649.70;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
